"year","name","value"
1970,"dungeness",1.41208745228414
1971,"pink",2.57438205125279
1971,"walleye.pollock",1.75367789363252
1971,"slope.rockfish",2.96970149020344
1971,"sockeye",1.88184150095964
1971,"pacific.halibut",2.16608123750827
1971,"chum",2.17088660854944
1971,"pacific.herring",1.51664675552075
1971,"shrimp",2.50163838870568
1971,"sablefish",2.2500240051028
1971,"pacific.cod",0.850404250501244
1971,"king.crab",1.61914814258874
1971,"coho",1.46010292806116
1971,"tanner.crab",1.65833980462037
1971,"other.flatfish",1.24075800695948
1971,"atka.mackerel",0
1971,"dungeness",1.13199181903904
1972,"pink",2.30766481361122
1972,"walleye.pollock",2.41617330828958
1972,"slope.rockfish",2.94006078627845
1972,"sockeye",1.86983521769859
1972,"pacific.halibut",2.10234193843959
1972,"chum",2.10069881965827
1972,"pacific.herring",1.63504965196015
1972,"shrimp",2.44461022292961
1972,"sablefish",2.47464899614003
1972,"pacific.cod",1.36905071830248
1972,"king.crab",1.73214702459603
1972,"coho",1.54235705195472
1972,"tanner.crab",1.8710958973777
1972,"other.flatfish",1.72983337692444
1972,"atka.mackerel",0
1972,"dungeness",1.24956377169897
1973,"pink",2.04880901314961
1973,"walleye.pollock",2.46358820464163
1973,"slope.rockfish",2.69782417615336
1973,"sockeye",1.7349303699741
1973,"pacific.halibut",1.96647914096275
1973,"chum",1.92431072842475
1973,"pacific.herring",1.95777527608249
1973,"shrimp",2.83723577302962
1973,"sablefish",2.31442967765953
1973,"pacific.cod",1.56266614149924
1973,"king.crab",1.71033184887968
1973,"coho",1.40348550415001
1973,"tanner.crab",2.15129415723364
1973,"other.flatfish",2.11508608880986
1973,"atka.mackerel",0
1973,"dungeness",1.27924180401757
1974,"pink",1.99220454143481
1974,"walleye.pollock",2.80470750270306
1974,"slope.rockfish",2.63187380096759
1974,"sockeye",1.72478838010021
1974,"pacific.halibut",1.69194888860743
1974,"chum",1.6795283519269
1974,"pacific.herring",2.00637569801223
1974,"shrimp",2.63932957011746
1974,"sablefish",2.30717641891432
1974,"pacific.cod",1.5087745582826
1974,"king.crab",1.89185254014013
1974,"coho",1.5139162485598
1974,"tanner.crab",2.13760483723742
1974,"other.flatfish",1.76778392328475
1974,"atka.mackerel",0
1974,"dungeness",1.0850276550489
1975,"pink",2.19709228702643
1975,"walleye.pollock",2.77748125385644
1975,"slope.rockfish",2.57742443893109
